REF.,PICTURE,ITEM NO.,SEC.,DESCRIPTION,CTN,PACKING,T-PCS,COST,TOTAL,SALE,"WAREHOSE
STOCK",ABUDHABI,AJMAN,AVENUE,AL SAFA,BANIYAS,FAHIDI,SHARJAH
DTD-1229 W.HOUSE,,FH-20216,KITCHEN SEC.,HOOK/粘钩,5,240 ,1200 ,1.16,1395.69,3.99,100,1,4,,,,5,22
DTD-1229 W.HOUSE,,FH-20344,KITCHEN SEC.,BOTTLE/可乐瓶 保温,10,50 ,500 ,9.55,4773.45,15.99,50,,28,5,,,0,39
DTD-1229 W.HOUSE,,FH-20662,KITCHEN SEC.,AIR FRYER WOK PAPER/20cm *4.5cm大方本色吸塑空气炸锅纸,10,120 ,1200 ,2.24,2685.60,5.99,,20,,5,,,,176
DTD-1229 W.HOUSE,,FH-20664,KITCHEN SEC.,AIR FRYER WOK PAPER/16cm*4.5cm小方本色吸塑,7,120 ,840 ,1.70,1431.42,4.99,20,54,40,16,,,10,141
DTD-1229 W.HOUSE,,FH-20665,KITCHEN SEC.,AIR FRYER WOK PAPER/16*4.5cm小圆本色吸塑,10,120 ,1200 ,1.59,1905.00,3.99,,4,1,90,,,62,
DTD-1229 W.HOUSE,,FH-20666,KITCHEN SEC.,AIR FRYER WOK PAPER/16*4.5cm小圆本色吸塑硅油纸,10,150 ,1500 ,2.02,3030.60,4.99,,-1,2,128,,,12,
DTD-1229 W.HOUSE,,FH-20667,KITCHEN SEC.,POT MAT/红柄锅垫,5,144 ,720 ,1.32,950.94,3.99,,144,57,140,,,4,87
DTD-1229 W.HOUSE,,FH-21330,KITCHEN SEC.,FRESH-COVER/保鲜罩纯色,10,100 ,1000 ,2.42,2416.64,5.99,,57,0,,,,,1
DTD-1229 W.HOUSE,,FH-21331,KITCHEN SEC.,FRESH-COVER/保鲜罩彩色,10,100 ,1000 ,2.59,2587.33,5.99,,2,,22,,,,2
DTD-1229 W.HOUSE,,FH-21414,KITCHEN SEC.,BROOM-SET/扫把套装,15,40 ,600 ,7.97,4780.27,10.99,,3,,-5,,,,57
DTD-1229 W.HOUSE,,FH-21418,KITCHEN SEC.,MOP/拧水拖把,5,50 ,250 ,7.54,1885.26,10.99,,33,,55,,,,73
DTD-1229 W.HOUSE,,FH-21422,KITCHEN SEC.,MOP/拧水拖把,10,70 ,700 ,5.76,4030.31,10.99,,,,54,,,,-7
DTD-1229 W.HOUSE,,FH-21426,KITCHEN SEC.,MOP/喷水拖把,10,30 ,300 ,8.56,2568.95,15.99,,,,4,,,,-9
DTD-1229 W.HOUSE,,FH-21444,KITCHEN SEC.,WATERING-CAN/喷壶2L,5,20 ,100 ,4.40,440.01,8.99,,,,-1,,,,82
DTD-1229 W.HOUSE,,FH-21446,KITCHEN SEC.,WATERING-CAN/喷壶500ML,10,150 ,1500 ,1.01,1516.58,2.99,,144,57,140,,,4,87
DTD-1229 W.HOUSE,,FH-21451,KITCHEN SEC.,MOP/一字拖把,8,40 ,320 ,6.45,2063.64,10.99,,57,0,,,,,1
DTD-1229 W.HOUSE,,FH-21455,KITCHEN SEC.,MOP-HEAD/纯棉拖把头400g,15,50 ,750 ,3.32,2492.07,6.99,,2,,22,,,,2
DTD-1229 W.HOUSE,,FH-21456,KITCHEN SEC.,MOP-HEAD/纯棉拖把头350g,15,50 ,750 ,2.91,2185.32,5.99,,3,,-5,,,,57
DTD-1229 W.HOUSE,,FH-21457,KITCHEN SEC.,MOP-HEAD/纯棉拖把头350g,15,100 ,1500 ,2.92,4374.29,5.99,,33,,55,,,,73
DTD-1229 W.HOUSE,,FH-21463,KITCHEN SEC.,SOAPDISPENSER/10524抽纸盒,20,8 ,160 ,23.59,3774.34,39.00,,,,22,,,,
DTD-1229 W.HOUSE,,FH-22007,KITCHEN SEC.,RACK/面包蓝3层,10,24 ,240 ,17.44,4185.95,29.00,,,,15,,,,
DTD-1229 W.HOUSE,,FH-22008,KITCHEN SEC.,RACK/面包蓝2层,10,30 ,300 ,10.88,3263.59,20.99,100,1,4,,,,5,22
DTD-1229 W.HOUSE,,FH-22015,KITCHEN SEC.,RACK/BX-4303#3层碗架,10,10 ,100 ,32.15,3214.68,59.00,5,,3,5,,,0,39
DTD-1229 W.HOUSE,,FH-22016,KITCHEN SEC.,RACK/BX-4302#2层碗架,10,10 ,100 ,24.07,2406.62,39.00,,20,,5,,,,17
DTD-1229 W.HOUSE,,FH-22017,KITCHEN SEC.,RACK/BX-0851#85CM水槽架,10,10 ,100 ,31.14,3114.32,49.00,2,5,4,16,,,10,14
DTD-1229 W.HOUSE,,FH-22220,KITCHEN SEC.,CUP/纸杯200m1*100只,20,20 ,400 ,5.06,2023.99,10.99,,,,,,,,
DTD-1229 W.HOUSE,,FH-29225,KITCHEN SEC.,LUNCH BOX/216-4饭盒套装,10,48 ,480 ,5.55,2664.80,10.99,,4,1,90,19,88,62,
DTD-1229 W.HOUSE,,FH-29244,KITCHEN SEC.,MEDICINE BOX/彩色英文21格药盒,6,200 ,1200 ,2.32,2780.13,5.99,90,-1,2,128,14,258,12,
DTD-1229 W.HOUSE,,FH-29309,KITCHEN SEC.,HOOK/8021-4粘钩,5,160 ,800 ,0.84,675.77,3.99,12,14,5,14,1,20,4,8
DTD-1229 W.HOUSE,,FH-29326,KITCHEN SEC.,RACK/396印花牙刷架,10,72 ,720 ,2.46,1773.68,4.99,140,42,73,19,62,22,18,-1
DTD-1229 W.HOUSE,,FH-29327,KITCHEN SEC.,RACK/231牙刷架,10,40 ,400 ,3.55,1421.69,6.99,19,88,-7,14,12,15,25,16
DTD-1229 W.HOUSE,,FH-29330,KITCHEN SEC.,RACK/0137扁铁纸巾架,10,100 ,1000 ,2.23,2233.62,5.99,14,258,-9,,4,57,74,28
DTD-1229 W.HOUSE,,FH-29331,KITCHEN SEC.,RACK/0134平口柜门挂篮,10,60 ,600 ,3.50,2099.49,6.99,10,202,82,,18,2,18,28
DTD-1229 W.HOUSE,,FH-29332,KITCHEN SEC.,RACK/0104小号抽屉篮,10,50 ,500 ,3.58,1790.27,6.99,62,22,-2,,25,3,26,-20
DTD-1229 W.HOUSE,,FH-29334,KITCHEN SEC.,RACK/0106大号抽屉篮,10,50 ,500 ,4.44,2218.38,8.99,,,,28,,,,
